术语	词频	归一化权重	累积权重
油橄榄	11	0.0001	0.7231
省份	11	0.0001	0.7232
白花	11	0.0001	0.7233
小囊	11	0.0001	0.7233
病情	11	0.0001	0.7234
异位	11	0.0001	0.7235
人脑	11	0.0001	0.7236
脑损伤	11	0.0001	0.7237
催化亚基	11	0.0001	0.7238
真叶	11	0.0001	0.7238
色氨酸	11	0.0001	0.7239
凝胶	11	0.0001	0.7240
凝血因子	11	0.0001	0.7241
中毒	11	0.0001	0.7242
损失	11	0.0001	0.7243
神经功能	11	0.0001	0.7243
巨桉	11	0.0001	0.7244
杀性	11	0.0001	0.7245
行使	11	0.0001	0.7246
绒毛	11	0.0001	0.7247
鲳鲹	11	0.0001	0.7247
频段	11	0.0001	0.7248
变体	11	0.0001	0.7249
本体	11	0.0001	0.7250
牛肝菌	11	0.0001	0.7251
淡色	11	0.0001	0.7252
粘虫	11	0.0001	0.7252
棕色	11	0.0001	0.7253
药理	11	0.0001	0.7254
羊种	11	0.0001	0.7255
细胞质	11	0.0001	0.7256
黄烷	11	0.0001	0.7257
鹅掌楸	11	0.0001	0.7257
缺铁	11	0.0001	0.7258
试剂	11	0.0001	0.7259
病原学	11	0.0001	0.7260
血栓	11	0.0001	0.7261
抗癌	11	0.0001	0.7261
球孢	11	0.0001	0.7262
主根	11	0.0001	0.7263
食源性	11	0.0001	0.7264
极化	11	0.0001	0.7265
新种	11	0.0001	0.7266
偏性	11	0.0001	0.7266
酚酸	11	0.0001	0.7267
脑梗死	11	0.0001	0.7268
石磺	11	0.0001	0.7269
微波	11	0.0001	0.7270
探究	11	0.0001	0.7270
坚果	11	0.0001	0.7271
和亚	11	0.0001	0.7272
匍匐茎	11	0.0001	0.7273
谱线	11	0.0001	0.7274
冷性	11	0.0001	0.7275
炮制	11	0.0001	0.7275
实验教学	11	0.0001	0.7276
结构特征	11	0.0001	0.7277
想象	11	0.0001	0.7278
致病菌	11	0.0001	0.7279
皮下	11	0.0001	0.7280
韧皮部	11	0.0001	0.7280
气管	11	0.0001	0.7281
异构	11	0.0001	0.7282
弹性	11	0.0001	0.7283
家畜	11	0.0001	0.7284
无序	11	0.0001	0.7284
沙漠	11	0.0001	0.7285
盆地	11	0.0001	0.7286
研究性	11	0.0001	0.7287
子房	11	0.0001	0.7288
犊牛	11	0.0001	0.7289
微流	11	0.0001	0.7289
菜心	11	0.0001	0.7290
学者	11	0.0001	0.7291
羧化酶	11	0.0001	0.7292
本质	11	0.0001	0.7293
总长度	11	0.0001	0.7294
原始数据	11	0.0001	0.7294
感染性	11	0.0001	0.7295
等离子体	11	0.0001	0.7296
青蟹	11	0.0001	0.7297
科学家	11	0.0001	0.7298
糖基	11	0.0001	0.7298
狂犬病	11	0.0001	0.7299
介素	11	0.0001	0.7300
盐生	11	0.0001	0.7301
谷氨酰胺	11	0.0001	0.7302
粳稻	11	0.0001	0.7303
脉搏	11	0.0001	0.7303
极区	11	0.0001	0.7304
地球科学	11	0.0001	0.7305
不饱和	11	0.0001	0.7306
植物体	11	0.0001	0.7307
化学品	11	0.0001	0.7308
成肌细胞	11	0.0001	0.7308
外切	11	0.0001	0.7309
念珠菌	11	0.0001	0.7310
肌纤维	11	0.0001	0.7311
近缘	11	0.0001	0.7312
平均值	11	0.0001	0.7312
观测	11	0.0001	0.7313
突变率	11	0.0001	0.7314
阳离子	11	0.0001	0.7315
牙齿	11	0.0001	0.7316
冬麦	11	0.0001	0.7317
液相	11	0.0001	0.7317
试管	11	0.0001	0.7318
电路	11	0.0001	0.7319
蔬菜	11	0.0001	0.7320
膳食	11	0.0001	0.7321
耳蜗	11	0.0001	0.7322
文化	11	0.0001	0.7322
双组分	11	0.0001	0.7323
沼虾	11	0.0001	0.7324
子集	11	0.0001	0.7325
视野	11	0.0001	0.7326
基团	11	0.0001	0.7326
癌变	11	0.0001	0.7327
原球茎	11	0.0001	0.7328
甲羟戊酸	11	0.0001	0.7329
阵地	11	0.0001	0.7330
厚度	11	0.0001	0.7331
侧翼区	11	0.0001	0.7331
二磷酸	11	0.0001	0.7332
文件	11	0.0001	0.7333
原生质	11	0.0001	0.7334
造模	11	0.0001	0.7335
特征性	11	0.0001	0.7336
叶斑病	11	0.0001	0.7336
病死率	11	0.0001	0.7337
遗迹	11	0.0001	0.7338
心衰	11	0.0001	0.7339
腺嘌呤	11	0.0001	0.7340
共培养	11	0.0001	0.7340
中成药	11	0.0001	0.7341
乳腺炎	11	0.0001	0.7342
洋葱	11	0.0001	0.7343
小组	11	0.0001	0.7344
木豆	11	0.0001	0.7345
失活	11	0.0001	0.7345
木糖	11	0.0001	0.7346
信息技术	11	0.0001	0.7347
敏感度	11	0.0001	0.7348
先验	11	0.0001	0.7349
灵长类	11	0.0001	0.7349
遗传学家	11	0.0001	0.7350
原子	11	0.0001	0.7351
保障系统	11	0.0001	0.7352
经验	11	0.0001	0.7353
消化	11	0.0001	0.7354
养分	11	0.0001	0.7354
医学院	11	0.0001	0.7355
黄曲霉	11	0.0001	0.7356
空肠	11	0.0001	0.7357
公式	11	0.0001	0.7358
大白	11	0.0001	0.7359
培养液	10	0.0001	0.7359
万剂	10	0.0001	0.7360
颈动脉	10	0.0001	0.7361
古人类	10	0.0001	0.7362
到胞	10	0.0001	0.7362
超氧化物	10	0.0001	0.7363
集上	10	0.0001	0.7364
鹰嘴豆	10	0.0001	0.7365
产后	10	0.0001	0.7365
水貂	10	0.0001	0.7366
粉尘	10	0.0001	0.7367
综合类	10	0.0001	0.7368
物质基础	10	0.0001	0.7368
灌胃	10	0.0001	0.7369
单倍体	10	0.0001	0.7370
几率	10	0.0001	0.7371
系统疾病	10	0.0001	0.7371
乙型	10	0.0001	0.7372
头颈部	10	0.0001	0.7373
鳖甲	10	0.0001	0.7374
整合素	10	0.0001	0.7374
水域	10	0.0001	0.7375
溶质	10	0.0001	0.7376
绘制	10	0.0001	0.7376
喹啉	10	0.0001	0.7377
荚膜	10	0.0001	0.7378
基数	10	0.0001	0.7379
豆荚	10	0.0001	0.7379
导肽	10	0.0001	0.7380
干酪	10	0.0001	0.7381
铁蛋白	10	0.0001	0.7382
肉质	10	0.0001	0.7382
健脾	10	0.0001	0.7383
无义	10	0.0001	0.7384
卵形	10	0.0001	0.7385
黑猪	10	0.0001	0.7385
薄膜	10	0.0001	0.7386
杉木	10	0.0001	0.7387
蚕丝	10	0.0001	0.7388
五味子	10	0.0001	0.7388
知识产权	10	0.0001	0.7389
部级	10	0.0001	0.7390
计量	10	0.0001	0.7391
环境工程	10	0.0001	0.7391
亚油酸	10	0.0001	0.7392
骨折	10	0.0001	0.7393
西药	10	0.0001	0.7394
白化	10	0.0001	0.7394
木瓜	10	0.0001	0.7395
槟榔	10	0.0001	0.7396
股骨头	10	0.0001	0.7397
特色	10	0.0001	0.7397
乳脂	10	0.0001	0.7398
冰草	10	0.0001	0.7399
共价闭	10	0.0001	0.7400
板栗	10	0.0001	0.7400
渔业	10	0.0001	0.7401
芥蓝	10	0.0001	0.7402
肿瘤医院	10	0.0001	0.7403
质子	10	0.0001	0.7403
菌物	10	0.0001	0.7404
气体	10	0.0001	0.7405
苍术	10	0.0001	0.7406
甾体	10	0.0001	0.7406
抗炎	10	0.0001	0.7407
茯苓	10	0.0001	0.7408
胆碱	10	0.0001	0.7409
读段	10	0.0001	0.7409
花梗	10	0.0001	0.7410
人才	10	0.0001	0.7411
抗抑郁	10	0.0001	0.7412
污水	10	0.0001	0.7412
锆石	10	0.0001	0.7413
管理学	10	0.0001	0.7414
检材	10	0.0001	0.7415
信使	10	0.0001	0.7415
探测器	10	0.0001	0.7416
布局	10	0.0001	0.7417
增殖率	10	0.0001	0.7418
计数	10	0.0001	0.7418
着丝粒	10	0.0001	0.7419
蛋白酶体	10	0.0001	0.7420
红肉	10	0.0001	0.7421
水仙	10	0.0001	0.7421
认知障碍	10	0.0001	0.7422
农田	10	0.0001	0.7423
衣原体	10	0.0001	0.7424
乳房	10	0.0001	0.7424
证型	10	0.0001	0.7425
鳞翅目	10	0.0001	0.7426
分子量	10	0.0001	0.7427
抗结核	10	0.0001	0.7427
变应原	10	0.0001	0.7428
喉癌	10	0.0001	0.7429
构型	10	0.0001	0.7430
重点	10	0.0001	0.7430
结肠炎	10	0.0001	0.7431
烟叶	10	0.0001	0.7432
分量	10	0.0001	0.7433
脊柱	10	0.0001	0.7433
稿件	10	0.0001	0.7434
大会	10	0.0001	0.7435
多倍体	10	0.0001	0.7436
定义	10	0.0001	0.7436
拉链	10	0.0001	0.7437
生殖器官	10	0.0001	0.7438
有氧	10	0.0001	0.7439
根腐病	10	0.0001	0.7439
电流	10	0.0001	0.7440
阿维菌素	10	0.0001	0.7441
密码	10	0.0001	0.7442
渗透压	10	0.0001	0.7442
烤烟	10	0.0001	0.7443
频域	10	0.0001	0.7444
野生种	10	0.0001	0.7445
苎麻	10	0.0001	0.7445
信息系统	10	0.0001	0.7446
尺蠖	10	0.0001	0.7447
贡献	10	0.0001	0.7448
竞争	10	0.0001	0.7448
自由基	10	0.0001	0.7449
硫酸	10	0.0001	0.7450
所在城市	10	0.0001	0.7451
电压	10	0.0001	0.7451
新城疫	10	0.0001	0.7452
孵育	10	0.0001	0.7453
豌豆	10	0.0001	0.7454
笔者	10	0.0001	0.7454
直系	10	0.0001	0.7455
卷叶螟	10	0.0001	0.7456
理念	10	0.0001	0.7457
丝状	10	0.0001	0.7457
炭疽病	10	0.0001	0.7458
苹果酸	10	0.0001	0.7459
抗药性	10	0.0001	0.7460
胞质	10	0.0001	0.7460
含油量	10	0.0001	0.7461
人工林	10	0.0001	0.7462
氨氮	10	0.0001	0.7463
石榴	10	0.0001	0.7463
疟原虫	10	0.0001	0.7464
迁移率	10	0.0001	0.7465
前景	10	0.0001	0.7466
醛酸	10	0.0001	0.7466
母亲	10	0.0001	0.7467
刊物	10	0.0001	0.7468
割胶	10	0.0001	0.7469
星状	10	0.0001	0.7469
资助	10	0.0001	0.7470
特征参数	10	0.0001	0.7471
工人	10	0.0001	0.7471
逆转录酶	10	0.0001	0.7472
荷瘤	10	0.0001	0.7473
根瘤菌	10	0.0001	0.7474
依赖性	10	0.0001	0.7474
图片	10	0.0001	0.7475
脑部	10	0.0001	0.7476
地下水	10	0.0001	0.7477
生理学	10	0.0001	0.7477
糖类	10	0.0001	0.7478
木本植物	10	0.0001	0.7479
模式识别	10	0.0001	0.7480
约束	10	0.0001	0.7480
指藻	10	0.0001	0.7481
山药	10	0.0001	0.7482
座位	10	0.0001	0.7483
囊尾蚴	10	0.0001	0.7483
膜电位	10	0.0001	0.7484
腺苷酸	10	0.0001	0.7485
条斑	9	0.0001	0.7486
革兰氏	9	0.0001	0.7486
天葵	9	0.0001	0.7487
发情	9	0.0001	0.7488
整体观	9	0.0001	0.7488
声学	9	0.0001	0.7489
帽子	9	0.0001	0.7490
耐旱性	9	0.0001	0.7490
复制基因	9	0.0001	0.7491
要素	9	0.0001	0.7492
偏差	9	0.0001	0.7492
溶血性	9	0.0001	0.7493
激动剂	9	0.0001	0.7494
膀胱	9	0.0001	0.7494
心理	9	0.0001	0.7495
珍珠	9	0.0001	0.7496
限制性	9	0.0001	0.7496
网格	9	0.0001	0.7497
胆汁	9	0.0001	0.7498
橡胶草	9	0.0001	0.7498
系膜	9	0.0001	0.7499
玉米螟	9	0.0001	0.7500
獐牙菜	9	0.0001	0.7500
特发性	9	0.0001	0.7501
芦苇	9	0.0001	0.7502
慢性病	9	0.0001	0.7502
化学物质	9	0.0001	0.7503
炭疽	9	0.0001	0.7504
雄蛾	9	0.0001	0.7504
柽柳	9	0.0001	0.7505
嗜血	9	0.0001	0.7506
香豆酸	9	0.0001	0.7507
进化距离	9	0.0001	0.7507
大黄鱼	9	0.0001	0.7508
矿化	9	0.0001	0.7509
木材	9	0.0001	0.7509
挥发性	9	0.0001	0.7510
合子	9	0.0001	0.7511
透射电镜	9	0.0001	0.7511
影响力	9	0.0001	0.7512
飞蝗	9	0.0001	0.7513
寄生虫病	9	0.0001	0.7513
发菜	9	0.0001	0.7514
食性	9	0.0001	0.7515
生长激素	9	0.0001	0.7515
意识	9	0.0001	0.7516
电位	9	0.0001	0.7517
成蚊	9	0.0001	0.7517
误差	9	0.0001	0.7518
命名	9	0.0001	0.7519
蘑菇	9	0.0001	0.7519
金属镉	9	0.0001	0.7520
成鱼	9	0.0001	0.7521
晚疫病	9	0.0001	0.7521
逻辑	9	0.0001	0.7522
产羔	9	0.0001	0.7523
异种	9	0.0001	0.7523
完整性	9	0.0001	0.7524
植物所	9	0.0001	0.7525
天麻	9	0.0001	0.7525
幼鱼	9	0.0001	0.7526
睾酮	9	0.0001	0.7527
婴儿	9	0.0001	0.7527
杂草	9	0.0001	0.7528
不定根	9	0.0001	0.7529
铁载体	9	0.0001	0.7529
光化学	9	0.0001	0.7530
断层	9	0.0001	0.7531
互花	9	0.0001	0.7531
命运	9	0.0001	0.7532
藏族	9	0.0001	0.7533
培训	9	0.0001	0.7533
通量	9	0.0001	0.7534
小花	9	0.0001	0.7535
脂氧合酶	9	0.0001	0.7535
蛇根草	9	0.0001	0.7536
小梁	9	0.0001	0.7537
鳞毛	9	0.0001	0.7537
科学研究	9	0.0001	0.7538
地面	9	0.0001	0.7539
底盘	9	0.0001	0.7539
灰霉病	9	0.0001	0.7540
盲肠	9	0.0001	0.7541
萜烯	9	0.0001	0.7542
插件	9	0.0001	0.7542
疾病诊断	9	0.0001	0.7543
钩藤	9	0.0001	0.7544
共性	9	0.0001	0.7544
芦笋	9	0.0001	0.7545
棕榈	9	0.0001	0.7546
环境因素	9	0.0001	0.7546
流行性	9	0.0001	0.7547
菠菜	9	0.0001	0.7548
花被	9	0.0001	0.7548
替代	9	0.0001	0.7549
脑膜炎	9	0.0001	0.7550
职业	9	0.0001	0.7550
分会	9	0.0001	0.7551
虫害	9	0.0001	0.7552
样本量	9	0.0001	0.7552
案件	9	0.0001	0.7553
感受态	9	0.0001	0.7554
红素	9	0.0001	0.7554
溃疡性	9	0.0001	0.7555
大类	9	0.0001	0.7556
年限	9	0.0001	0.7556
发状	9	0.0001	0.7557
活疫苗	9	0.0001	0.7558
黑曲霉	9	0.0001	0.7558
蛋白组	9	0.0001	0.7559
药理作用	9	0.0001	0.7560
大戟科	9	0.0001	0.7560
烟碱	9	0.0001	0.7561
光场	9	0.0001	0.7562
手段	9	0.0001	0.7562
猪源	9	0.0001	0.7563
甲虫	9	0.0001	0.7564
红鳍	9	0.0001	0.7564
国产	9	0.0001	0.7565
实质	9	0.0001	0.7566
胰岛	9	0.0001	0.7566
措施	9	0.0001	0.7567
污泥	9	0.0001	0.7568
树冠	9	0.0001	0.7568
现场	9	0.0001	0.7569
生产力	9	0.0001	0.7570
纤毛	9	0.0001	0.7570
假基因	9	0.0001	0.7571
赤藓	9	0.0001	0.7572
季节性	9	0.0001	0.7572
钙调素	9	0.0001	0.7573
时频	9	0.0001	0.7574
低浓度	9	0.0001	0.7575
脑机	9	0.0001	0.7575
免疫沉淀	9	0.0001	0.7576
叶面积	9	0.0001	0.7577
显性	9	0.0001	0.7577
寄主植物	9	0.0001	0.7578
高新技术	9	0.0001	0.7579
基金项目	9	0.0001	0.7579
地点	9	0.0001	0.7580
扰动	9	0.0001	0.7581
亮氨酸	9	0.0001	0.7581
漆酶	9	0.0001	0.7582
细胞学	9	0.0001	0.7583
地震	9	0.0001	0.7583
量表	9	0.0001	0.7584
周期性	9	0.0001	0.7585
错误	9	0.0001	0.7585
铁硫	9	0.0001	0.7586
办刊	9	0.0001	0.7587
专家	9	0.0001	0.7587
自然保护区	9	0.0001	0.7588
溶藻	9	0.0001	0.7589
竹子	9	0.0001	0.7589
日益	9	0.0001	0.7590
降维	9	0.0001	0.7591
物体	9	0.0001	0.7591
微血管	9	0.0001	0.7592
理科	9	0.0001	0.7593
蓝莓	9	0.0001	0.7593
关联性	9	0.0001	0.7594
三者	9	0.0001	0.7595
柔韧性	9	0.0001	0.7595
磷酸化酶	9	0.0001	0.7596
叶酸	9	0.0001	0.7597
基准	9	0.0001	0.7597
品牌	9	0.0001	0.7598
团头鲂	9	0.0001	0.7599
波导	9	0.0001	0.7599
游离	9	0.0001	0.7600
魔芋	9	0.0001	0.7601
情感	9	0.0001	0.7601
病毒基因	9	0.0001	0.7602
水质	9	0.0001	0.7603
功率	9	0.0001	0.7603
基本特征	9	0.0001	0.7604
地下茎	9	0.0001	0.7605
原体	9	0.0001	0.7605
时段	9	0.0001	0.7606
威胁	9	0.0001	0.7607
喹诺酮	9	0.0001	0.7607
双向	9	0.0001	0.7608
丝腺	9	0.0001	0.7609
异质	9	0.0001	0.7610
竹节参	9	0.0001	0.7610
版本	9	0.0001	0.7611
人文	9	0.0001	0.7612
花后	9	0.0001	0.7612
鱼腥草	9	0.0001	0.7613
中心法则	9	0.0001	0.7614
现代化	9	0.0001	0.7614
叶枯病	9	0.0001	0.7615
风味	9	0.0001	0.7616
双链	9	0.0001	0.7616
调制	9	0.0001	0.7617
工作记忆	9	0.0001	0.7618
热处理	9	0.0001	0.7618
滤波	9	0.0001	0.7619
脑脊液	9	0.0001	0.7620
药学	9	0.0001	0.7620
生物防治	9	0.0001	0.7621
草酸	9	0.0001	0.7622
异黄酮	9	0.0001	0.7622
预测值	9	0.0001	0.7623
地上茎	9	0.0001	0.7624
大片	9	0.0001	0.7624
分子热	9	0.0001	0.7625
额叶	9	0.0001	0.7626
葫芦科	9	0.0001	0.7626
种属	9	0.0001	0.7627
蓄积	9	0.0001	0.7628
小脑	9	0.0001	0.7628
远程	9	0.0001	0.7629
无线	9	0.0001	0.7630
食品工业	9	0.0001	0.7630
小球藻	9	0.0001	0.7631
小果	9	0.0001	0.7632
亚麻酸	9	0.0001	0.7632
抗衰老	9	0.0001	0.7633
乙酯	9	0.0001	0.7634
培苗	9	0.0001	0.7634
作业	9	0.0001	0.7635
微区	9	0.0001	0.7636
三角帆	9	0.0001	0.7636
平行	9	0.0001	0.7637
基原	9	0.0001	0.7638
浮游	9	0.0001	0.7638
大白兔	9	0.0001	0.7639
气虚	9	0.0001	0.7640
豆状	9	0.0001	0.7640
补偿	9	0.0001	0.7641
分布区	9	0.0001	0.7642
控制工程	8	0.0001	0.7642
射频	8	0.0001	0.7643
素类	8	0.0001	0.7644
氯化钠	8	0.0001	0.7644
规划	8	0.0001	0.7645
总长	8	0.0001	0.7645
囊胚	8	0.0001	0.7646
新闻	8	0.0001	0.7647
强光	8	0.0001	0.7647
数据处理	8	0.0001	0.7648
假茎	8	0.0001	0.7648
数据量	8	0.0001	0.7649
硫酸盐	8	0.0001	0.7650
疱疹病毒	8	0.0001	0.7650
课堂教学	8	0.0001	0.7651
电镜	8	0.0001	0.7651
尿酸	8	0.0001	0.7652
论据	8	0.0001	0.7653
骨膜	8	0.0001	0.7653
年份	8	0.0001	0.7654
全血	8	0.0001	0.7654
卷曲螺旋	8	0.0001	0.7655
病毒组	8	0.0001	0.7656
系统验证	8	0.0001	0.7656
热菌	8	0.0001	0.7657
指导	8	0.0001	0.7657
二硫键	8	0.0001	0.7658
番茄红素	8	0.0001	0.7659
甘油酯	8	0.0001	0.7659
羟色胺	8	0.0001	0.7660
轴突导向	8	0.0001	0.7660
不孕症	8	0.0001	0.7661
骨髓瘤	8	0.0001	0.7662
小叶	8	0.0001	0.7662
皮损	8	0.0001	0.7663
滤波器	8	0.0001	0.7663
苦瓜	8	0.0001	0.7664
含药	8	0.0001	0.7665
口袋	8	0.0001	0.7665
病理性	8	0.0001	0.7666
水产	8	0.0001	0.7666
地域	8	0.0001	0.7667
问号	8	0.0001	0.7668
眼科	8	0.0001	0.7668
周质	8	0.0001	0.7669
分析法	8	0.0001	0.7669
阳性细胞	8	0.0001	0.7670
羔羊	8	0.0001	0.7671
酮类	8	0.0001	0.7671
猕猴	8	0.0001	0.7672
符合率	8	0.0001	0.7672
园艺	8	0.0001	0.7673
变区	8	0.0001	0.7674
尿素	8	0.0001	0.7674
海枣	8	0.0001	0.7675
海胆	8	0.0001	0.7675
数字图像	8	0.0001	0.7676
黄鳝	8	0.0001	0.7677
序列号	8	0.0001	0.7677
前庭	8	0.0001	0.7678
菌素	8	0.0001	0.7678
绘图	8	0.0001	0.7679
壳聚糖	8	0.0001	0.7680
生防	8	0.0001	0.7680
缺乏症	8	0.0001	0.7681
拮抗剂	8	0.0001	0.7681
磷酸盐	8	0.0001	0.7682
二聚体	8	0.0001	0.7683
大通	8	0.0001	0.7683
非典型	8	0.0001	0.7684
多巴胺	8	0.0001	0.7684
白刺	8	0.0001	0.7685
吡虫啉	8	0.0001	0.7686
高龄	8	0.0001	0.7686
缺氮	8	0.0001	0.7687
草甘膦	8	0.0001	0.7687
牛磺酸	8	0.0001	0.7688
皮质激素	8	0.0001	0.7689
农场	8	0.0001	0.7689
岩藻	8	0.0001	0.7690
茎部	8	0.0001	0.7690
医师	8	0.0001	0.7691
天然橡胶	8	0.0001	0.7692
颈部	8	0.0001	0.7692
低水平	8	0.0001	0.7693
唯安	8	0.0001	0.7693
胸部	8	0.0001	0.7694
残差	8	0.0001	0.7694
摄入量	8	0.0001	0.7695
白质	8	0.0001	0.7696
微电极	8	0.0001	0.7696
牙周炎	8	0.0001	0.7697
脂滴	8	0.0001	0.7697
放射性	8	0.0001	0.7698
链格	8	0.0001	0.7699
薄壳	8	0.0001	0.7699
猪瘟	8	0.0001	0.7700
体色	8	0.0001	0.7700
层次分明	8	0.0001	0.7701
约稿	8	0.0001	0.7702
医学类	8	0.0001	0.7702
图表	8	0.0001	0.7703
泡桐	8	0.0001	0.7703
腹部	8	0.0001	0.7704
直链	8	0.0001	0.7705
支系	8	0.0001	0.7705
苯甲酸	8	0.0001	0.7706
腹脂	8	0.0001	0.7706
催化剂	8	0.0001	0.7707
溴氰菊酯	8	0.0001	0.7708
编程	8	0.0001	0.7708
胃肠道	8	0.0001	0.7709
念珠	8	0.0001	0.7709
包被	8	0.0001	0.7710
微量	8	0.0001	0.7711
渔业资源	8	0.0001	0.7711
红斑狼疮	8	0.0001	0.7712
声音	8	0.0001	0.7712
趋化	8	0.0001	0.7713
专论	8	0.0001	0.7714
大鲵	8	0.0001	0.7714
跨代	8	0.0001	0.7715
草原	8	0.0001	0.7715
尿道	8	0.0001	0.7716
营养生长	8	0.0001	0.7717
纹状体	8	0.0001	0.7717
标准化	8	0.0001	0.7718
铁观音	8	0.0001	0.7718
小蜂	8	0.0001	0.7719
外泌	8	0.0001	0.7720
环路	8	0.0001	0.7720
苞片	8	0.0001	0.7721
生殖系统	8	0.0001	0.7721
微囊	8	0.0001	0.7722
地质学	8	0.0001	0.7723
边境地区	8	0.0001	0.7723
立体	8	0.0001	0.7724
民族	8	0.0001	0.7724
运动学	8	0.0001	0.7725
溃疡病	8	0.0001	0.7726
生物素	8	0.0001	0.7726
心音	8	0.0001	0.7727
冬虫夏草	8	0.0001	0.7727
配子	8	0.0001	0.7728
抗冻	8	0.0001	0.7729
戊糖	8	0.0001	0.7729
中药材	8	0.0001	0.7730
食用菌	8	0.0001	0.7730
代表性	8	0.0001	0.7731
协议	8	0.0001	0.7732
性成熟	8	0.0001	0.7732
颞叶	8	0.0001	0.7733
复合材料	8	0.0001	0.7733
科学杂志	8	0.0001	0.7734
绿头鸭	8	0.0001	0.7735
幅值	8	0.0001	0.7735
胆道	8	0.0001	0.7736
分子式	8	0.0001	0.7736
重链	8	0.0001	0.7737
羊毛	8	0.0001	0.7738
生活史	8	0.0001	0.7738
槲皮素	8	0.0001	0.7739
研讨会	8	0.0001	0.7739
重排	8	0.0001	0.7740
粮食	8	0.0001	0.7741
分层	8	0.0001	0.7741
肢体	8	0.0001	0.7742
伪影	8	0.0001	0.7742
虫态	8	0.0001	0.7743
伞形	8	0.0001	0.7744
波动	8	0.0001	0.7744
冷冻电	8	0.0001	0.7745
水溶性	8	0.0001	0.7745
大陆	8	0.0001	0.7746
雄虫	8	0.0001	0.7747
血吸虫	8	0.0001	0.7747
鹌鹑	8	0.0001	0.7748
骨组织	8	0.0001	0.7748
专刊	8	0.0001	0.7749
省部级	8	0.0001	0.7750
科学院	8	0.0001	0.7750
微量元素	8	0.0001	0.7751
常数	8	0.0001	0.7751
纤毛虫	8	0.0001	0.7752
尾部	8	0.0001	0.7753
复原	8	0.0001	0.7753
静脉	8	0.0001	0.7754
高盐	8	0.0001	0.7754
医务人员	8	0.0001	0.7755
土壤学	8	0.0001	0.7756
插值	8	0.0001	0.7756
概况	8	0.0001	0.7757
重塑	8	0.0001	0.7757
葱蝇	8	0.0001	0.7758
时域	8	0.0001	0.7759
化学修饰	8	0.0001	0.7759
细小	8	0.0001	0.7760
电泳	8	0.0001	0.7760
糖肽	8	0.0001	0.7761
头足类	8	0.0001	0.7762
隐性	8	0.0001	0.7762
抑制性	8	0.0001	0.7763
营养器官	8	0.0001	0.7763
高量	8	0.0001	0.7764
环素	8	0.0001	0.7765
状况	8	0.0001	0.7765
玫瑰	8	0.0001	0.7766
体表	8	0.0001	0.7766
角蛋白	8	0.0001	0.7767
发酵液	8	0.0001	0.7768
腹水	8	0.0001	0.7768
优质	8	0.0001	0.7769
母羊	8	0.0001	0.7769
干性	8	0.0001	0.7770
组件	8	0.0001	0.7770
精原细胞	8	0.0001	0.7771
深层	8	0.0001	0.7772
组库	8	0.0001	0.7772
体质	8	0.0001	0.7773
裂殖酵母	8	0.0001	0.7773
胚中	8	0.0001	0.7774
病机	8	0.0001	0.7775
磷脂酶	8	0.0001	0.7775
羊草	8	0.0001	0.7776
灌溉	8	0.0001	0.7776
年龄组	8	0.0001	0.7777
根和叶	8	0.0001	0.7778
易位	8	0.0001	0.7778
感觉	8	0.0001	0.7779
储存	8	0.0001	0.7779
蚕豆	8	0.0001	0.7780
香叶	8	0.0001	0.7781
肥厚型	8	0.0001	0.7781
自发性	8	0.0001	0.7782
内酰胺酶	8	0.0001	0.7782
读码	8	0.0001	0.7783
禽类	8	0.0001	0.7784
分泌系统	8	0.0001	0.7784
特征分析	8	0.0001	0.7785
树脂	8	0.0001	0.7785
绿藻	8	0.0001	0.7786
样地	8	0.0001	0.7787
模板	8	0.0001	0.7787
产孢	8	0.0001	0.7788
光电子	8	0.0001	0.7788
条单	8	0.0001	0.7789
复杂性	8	0.0001	0.7790
磷虾	8	0.0001	0.7790
草坪	8	0.0001	0.7791
酰胺	8	0.0001	0.7791
晚花	8	0.0001	0.7792
新品种	8	0.0001	0.7793
黄斑	8	0.0001	0.7793
杆状病毒	8	0.0001	0.7794
一氧化氮	8	0.0001	0.7794
钉螺	8	0.0001	0.7795
十字花科	8	0.0001	0.7796
天数	8	0.0001	0.7796
食用	8	0.0001	0.7797
酥梨	8	0.0001	0.7797
现状	8	0.0001	0.7798
意见	8	0.0001	0.7799
单萜	8	0.0001	0.7799
公猪	8	0.0001	0.7800
芜菁	8	0.0001	0.7800
盐浓度	8	0.0001	0.7801
水孔	8	0.0001	0.7802
耻垢	8	0.0001	0.7802
蜘蛛	8	0.0001	0.7803
脂酰	8	0.0001	0.7803
灌木	8	0.0001	0.7804
抗虫	8	0.0001	0.7805
座子	8	0.0001	0.7805
样条	8	0.0001	0.7806
聚乙二醇	8	0.0001	0.7806
优缺点	8	0.0001	0.7807
农林	8	0.0001	0.7808
和花	8	0.0001	0.7808
厚壁	7	0.0001	0.7809
连通性	7	0.0001	0.7809
根状茎	7	0.0001	0.7810
染色法	7	0.0001	0.7810
水分子	7	0.0001	0.7811
青枯菌	7	0.0001	0.7811
产仔数	7	0.0001	0.7812
水产品	7	0.0001	0.7812
牡丹花	7	0.0001	0.7813
小单	7	0.0001	0.7813
髋关节	7	0.0001	0.7814
思路	7	0.0001	0.7814
结瘤	7	0.0001	0.7815
详细分析	7	0.0001	0.7816
